category,product_name,product_url
Pimple Patches,VT Cosmetics – Cica Care Spot Patch – 1pack(48 Patches),https://qudobeauty.com/product/vt-cica-care-spot-patch-1pack48-patches/
Pimple Patches,Out of stock,https://qudobeauty.com/product/cosrx-master-patch-intensive-healing-blemish-patches-36-pcs/
Sun Protection SPF,ABIB – Airy Sunstick SPF50+ PA++++,https://qudobeauty.com/product/abib-tone-up-quick-smoothing-sunstick-bar-spf50-pa/
Sun Protection SPF,"Anua – Heartleaf Silky Moisture Sun Cream SPF50+ PA++++, 50ml",https://qudobeauty.com/product/anua-heartleaf-silky-moisture-sun-cream-spf50-pa-50ml/
Sun Protection SPF,"Beauty of Joseon – Matte Sun Stick Mugwort + Camilia SPF50 PA++++, 18g",https://qudobeauty.com/product/beauty-of-joseon-matte-sun-stick-mugwort-camilia-spf50-pa-18-g/
Sun Protection SPF,"COSRX – Aloe Soothing Sun Cream SPF50 PA+++, 50ml",https://qudobeauty.com/product/cosrx-aloe-soothing-sun-cream-spf50-pa-50ml/
Sun Protection SPF,"K-SECRET – SEOUL 1988 Sun: Pine Tree + Ceramide SPF50+ PA++++, 50ml",https://qudobeauty.com/product/k-secret-seoul-1988-sun-pine-tree-ceramide-spf50-pa-50ml/
Sun Protection SPF,"Mary & May – Vegan Peptide Bakuchiol Sun Stick SPF50+ PA++++, 18g",https://qudobeauty.com/product/mary-may-vegan-peptide-bakuchiol-sun-stick-spf50-pa-18g/
Sun Protection SPF,"Medi-Peel – Peptide 9 Bio Sun Stick Pro SPF50+ PA++++, 19g",https://qudobeauty.com/product/medi-peel-peptide-9-bio-sun-stick-pro-spf50-pa-19g/
Sun Protection SPF,"Missha – All Around Safe Block Aqua Sun, 50ml",https://qudobeauty.com/product/missha-all-around-safe-block-aqua-sun-50-ml/
Sun Protection SPF,Numbuzin – No.1 Clear Filter Sun Essence SPF 50+ PA ++++ – 50ml,https://qudobeauty.com/product/numbuzin-no-1-clear-filter-sun-essence-spf-50-pa-50ml/
Sun Protection SPF,SKIN1004 – Madagascar Centella Air-Fit Suncream Plus SPF50+ PA++++ – 50ml,https://qudobeauty.com/product/skin1004-madagascar-centella-air-fit-suncream-plus-spf50-pa-50ml/
Exfoliants,"COSRX – AHA 7 Whitehead Power Liquid, 100ml",https://qudobeauty.com/product/cosrx-aha-7-whitehead-power-liquid-100ml/
Exfoliants,"COSRX – BHA Blackhead Power Liquid, 100ml",https://qudobeauty.com/product/cosrx-bha-blackhead-power-liquid-100ml/
Exfoliants,Medicube – Zero Pore Pad 2.0 70 Pcs,https://qudobeauty.com/product/medicube-zero-pore-pad-2-0-70-pcs/
Exfoliants,"Medicube – Deep Vita C Pad, 150g",https://qudobeauty.com/product/medicube-deep-vita-c-pad-150g/
Exfoliants,"Medicube – Zero Pore Mild Pad, 155g",https://qudobeauty.com/product/medicube-zero-pore-mild-pad-155g/
Exfoliants,"Medicube – Exosome Cica Calming Pad, 150ml",https://qudobeauty.com/product/medicube-exosome-cica-calming-pad-150ml/
Exfoliants,"Beauty of Joseon – Apricot Blossom Peeling Gel, 100ml",https://qudobeauty.com/product/beauty-of-joseon-apricot-blossom-peeling-gel-100ml/
